ExperimentID,Datetime,train_sparse_categorical_accuracy,val_sparse_categorical_accuracy
65,20210922-10:46:16,0.9798319339752197,0.9295302033424377
66,20210922-10:46:35,0.9672268629074097,0.936241626739502
67,20210922-10:46:53,0.973109245300293,0.9328858852386475
68,20210922-10:47:05,0.9840335845947266,0.926174521446228
69,20210922-10:47:12,0.9890756011009216,0.9328858852386475
70,20210922-10:47:19,0.9840335845947266,0.9295302033424377
71,20210922-10:47:27,0.9789915680885315,0.936241626739502
72,20210922-10:47:38,0.9773108959197998,0.936241626739502
73,20210922-11:02:41,0.9647058844566345,0.9194630980491638
74,20210922-11:03:07,0.973109245300293,0.9228187799453735
75,20210922-11:06:53,1.0,0.9295302033424377
76,20210922-11:07:14,0.9974789619445801,0.9328858852386475
77,20210922-11:07:35,0.978151261806488,0.9228187799453735
78,20210922-11:07:48,0.9739495515823364,0.9093959927558899
79,20210922-11:08:01,0.9949579834938049,0.9328858852386475
80,20210922-11:08:16,0.9621848464012146,0.9328858852386475
81,20210922-11:08:27,0.9630252122879028,0.9295302033424377
82,20210922-11:08:40,0.8764705657958984,0.9026845693588257
83,20210922-11:08:58,0.9033613204956055,0.9161073565483093
84,20210922-11:09:12,0.9697479009628296,0.9328858852386475
85,20210922-11:09:27,0.9487394690513611,0.926174521446228
86,20210922-11:09:43,0.9764705896377563,0.9328858852386475
87,20210922-11:09:55,0.9579831957817078,0.926174521446228
88,20210922-11:10:16,0.970588207244873,0.9429529905319214
89,20210922-11:10:39,0.9840335845947266,0.9295302033424377
90,20210922-11:10:51,0.9529411792755127,0.926174521446228
91,20210922-11:11:05,0.9504201412200928,0.9295302033424377
92,20210922-11:11:18,0.9420167803764343,0.9161073565483093
93,20210922-11:11:35,0.9714285731315613,0.9395973086357117
94,20210922-11:11:43,0.9789915680885315,0.936241626739502
95,20210922-11:11:50,0.9756302237510681,0.9295302033424377
96,20210922-11:11:58,0.9647058844566345,0.936241626739502
97,20210922-11:12:09,0.9689075350761414,0.9295302033424377
